[21/08/2021, 01:08:22] fn#1009 (328249931544395776) | blobfordeath22#0080 (584150201489686529) > 1
[21/08/2021, 01:09:45] fn#1009 (328249931544395776) | blobfordeath22#0080 (584150201489686529) > 1
[21/08/2021, 01:11:07] fn#1009 (328249931544395776) | beepboop#2925 (730582272029229196) > 1
[21/08/2021, 01:13:22] fn#1009 (328249931544395776) | Spicy#8560 (433378984483618836) > 1
[21/08/2021, 01:18:59] fn#1009 (328249931544395776) | Spicy#8560 (433378984483618836) > 1
[22/08/2021, 00:02:43] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 2,180
[22/08/2021, 00:02:55] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 2,182
[22/08/2021, 00:03:34] Oggbot#1237 (780927367626752000) | arie#4639 (490240141181452308) > 848
[22/08/2021, 00:12:51] fn#1009 (328249931544395776) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 00:13:13] blobfordeath22#0080 (584150201489686529) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 00:26:13] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 1,305
[22/08/2021, 00:26:27] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,217
[22/08/2021, 01:13:28] Spicy#8560 (433378984483618836) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 09:12:58] josh.w_47#8361 (462709536076333058) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 10:27:24] beepboop#2925 (730582272029229196) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 15:28:41] bethan bethan bethan bethan#2511 (584101687892115457) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 15:41:55] fn#1009 (328249931544395776) | Oggbot#1237 (780927367626752000) > 1 | pay
[23/08/2021, 00:17:19] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 1,430 | daily
[23/08/2021, 00:22:49] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,068 | daily
[23/08/2021, 00:24:29] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,405 | daily
[23/08/2021, 00:25:18] Oggbot#1237 (780927367626752000) | arie#4639 (490240141181452308) > 797 | daily
[23/08/2021, 02:41:45] Oggbot#1237 (780927367626752000) | karnst#0554 (264769139892027403) > 756 | daily
[24/08/2021, 00:02:20] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 911 | daily
[24/08/2021, 00:09:08] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,838 | daily
[24/08/2021, 00:30:15] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,614 | daily
[24/08/2021, 00:30:47] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 548 | daily
[24/08/2021, 04:36:59] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 790 | daily
[24/08/2021, 09:25:55] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 1,092 | daily
[24/08/2021, 12:03:35] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 1,131 | daily
[25/08/2021, 00:00:28] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,264 | daily
[25/08/2021, 00:02:13] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,328 | daily
[25/08/2021, 00:13:45] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 834 | daily
[25/08/2021, 00:14:55] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 652 | daily
[25/08/2021, 02:09:17] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 691 | daily
[25/08/2021, 07:32:51] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 519 | daily
